n,our_time,sdpa_time,mosek_time,our_mem,sdpa_mem,mosek_mem,our_res,sdpa_res,mosek_res
30.0,0.000967743,0.14492075,0.186325673,141936.0,4.98328e6,3.881152e6,0.0,0.0,2.0
30.0,0.000937349,0.18722336,0.466955862,140112.0,4.98328e6,3.881152e6,0.0,0.0,2.0
30.0,0.000980329,0.18418866,0.173079874,143152.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.000974002,0.158650327,0.138047074,143152.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.000977494,0.23400471,0.169453171,142544.0,4.98456e6,3.881152e6,0.0,0.0,0.0
30.0,0.001003913,0.1308202,0.157507301,141936.0,4.98328e6,3.881152e6,0.0,0.0,2.0
30.0,0.000973137,0.273071276,0.191222633,140112.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.000996061,0.194744535,0.117804399,141936.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.000994888,0.1288733,0.136133978,141328.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.00110347,0.161125937,0.175704073,141936.0,4.98328e6,3.881152e6,0.0,0.0,2.0
30.0,0.0009399,0.121621213,0.19334758,140720.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.001011642,0.153163796,0.187406802,142544.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.000953371,0.245312241,0.158851625,141936.0,4.984432e6,3.881152e6,0.0,0.0,0.0
30.0,0.000996786,0.199395233,0.139072719,142544.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.000980608,0.177229473,0.111801622,143760.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.000985111,0.176164311,0.097015767,141328.0,4.98328e6,3.881152e6,0.0,0.0,2.0
30.0,0.001023612,0.155752509,0.165863916,143152.0,4.98328e6,3.881152e6,0.0,0.0,2.0
30.0,0.000992979,0.22991628,0.202574405,143152.0,4.983328e6,3.881152e6,0.0,2.0,0.0
30.0,0.001037874,0.195628924,0.160060589,140720.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.001001624,0.170357656,0.129382319,143152.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.001044231,0.133115375,0.148155283,141936.0,4.98328e6,3.88232e6,0.0,0.0,0.0
30.0,0.001002556,0.204435057,0.129045882,143152.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.00111761,0.196527911,0.232983979,141936.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.001049148,0.169531547,0.229834221,140720.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.000980473,0.127943224,0.156212866,142544.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.000948878,0.200368483,0.202782625,143152.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.000985063,0.188145175,0.201827368,140112.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.00098886,0.147929244,0.210435725,138288.0,4.98328e6,3.881152e6,0.0,0.0,2.0
30.0,0.001027529,0.157864134,0.163378998,143152.0,4.98328e6,3.882368e6,0.0,0.0,0.0
30.0,0.001059229,0.173970949,0.214341606,142544.0,4.98328e6,3.881152e6,0.0,0.0,2.0
30.0,0.000952146,0.186274649,0.161559511,143152.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.001117933,0.144849589,0.207300761,143152.0,4.98328e6,3.881152e6,0.0,0.0,2.0
30.0,0.000973851,0.1495588,0.187770136,141936.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.001004857,0.321569053,0.223058207,141936.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.001127996,0.210076129,0.188707091,143152.0,4.98328e6,3.881152e6,0.0,0.0,0.0
30.0,0.001138442,0.195781958,0.418933906,142544.0,4.98328e6,3.881152e6,0.0,0.0,0.0
